Geneid,NEGF1,NEGF1yuan,NEGF2yuan,NEGF3,NEGF3yuan
ENSG00000223972,0,0,0,2,1
ENSG00000227232,82,63,80,79,63
ENSG00000278267,11,2,10,5,3
ENSG00000243485,0,0,1,0,0
ENSG00000284332,0,0,0,0,0
ENSG00000237613,0,0,0,0,0
ENSG00000268020,0,0,0,0,0
ENSG00000240361,0,0,0,0,0
ENSG00000186092,0,0,0,0,0
ENSG00000238009,1,2,0,3,0
ENSG00000239945,0,0,0,0,0
ENSG00000233750,1,0,0,0,0
ENSG00000268903,2,2,0,4,1
ENSG00000269981,5,1,1,3,2
ENSG00000239906,0,0,0,1,0
ENSG00000241860,5,7,8,0,4
ENSG00000222623,0,0,0,0,0
ENSG00000241599,0,0,0,0,0
ENSG00000279928,8,0,0,0,0
ENSG00000279457,198,214,265,171,214
ENSG00000273874,2,0,2,0,2
ENSG00000228463,17,24,10,22,10
ENSG00000286448,0,0,0,1,0
ENSG00000236679,0,0,0,0,0
ENSG00000236601,0,0,0,0,0
ENSG00000237094,8,4,15,9,12
ENSG00000269732,0,0,0,0,0
ENSG00000284733,0,0,0,0,1
ENSG00000233653,0,0,0,0,0
ENSG00000250575,4,1,1,4,4
ENSG00000278757,0,0,1,0,0
ENSG00000230021,10,22,15,19,15
ENSG00000235146,0,0,0,0,0
ENSG00000225972,49,30,22,45,43
ENSG00000225630,161,105,101,126,115
ENSG00000237973,1077,502,617,1009,753
ENSG00000278791,0,0,0,0,0
ENSG00000229344,204,205,219,253,178
ENSG00000240409,25,22,13,28,16
ENSG00000248527,3013,2400,2185,2645,2528
ENSG00000198744,552,324,256,594,477
ENSG00000268663,0,0,0,0,0
ENSG00000284662,0,0,0,0,0
ENSG00000229376,2,2,5,1,2
ENSG00000228327,151,102,131,132,104
ENSG00000223181,1,0,0,0,0
ENSG00000229905,0,0,2,2,1
ENSG00000237491,47,18,18,55,16
ENSG00000285268,0,0,0,0,0
ENSG00000230092,2,5,5,10,0
ENSG00000177757,4,3,4,2,3
ENSG00000228794,241,209,188,267,188
ENSG00000225880,10,3,9,5,7
ENSG00000288531,0,0,0,0,0
ENSG00000230368,1,0,0,0,0
ENSG00000234711,0,0,0,0,0
ENSG00000283040,0,0,0,0,0
ENSG00000272438,2,29,45,4,24
ENSG00000230699,10,166,166,13,142
ENSG00000241180,0,4,5,0,3
ENSG00000223764,58,959,1190,59,1094
ENSG00000187634,29,2417,3088,25,2704
ENSG00000188976,891,1773,2220,897,1814
ENSG00000187961,372,580,606,389,635
ENSG00000187583,49,176,207,54,154
ENSG00000187642,5,4,5,3,4
ENSG00000272512,6,10,5,4,1
ENSG00000188290,118,110,157,109,119
ENSG00000187608,1478,671,597,1740,724
ENSG00000231702,1,0,0,0,0
ENSG00000224969,5,3,0,0,1
ENSG00000188157,14137,6074,8462,14042,6129
ENSG00000242590,0,0,0,0,0
ENSG00000217801,17,13,21,22,16
ENSG00000273443,2,3,3,3,3
ENSG00000237330,0,0,0,0,0
ENSG00000131591,283,291,301,244,274
ENSG00000285812,12,11,6,4,6
ENSG00000223823,0,0,0,0,0
ENSG00000207730,0,0,0,0,0
ENSG00000207607,0,0,0,0,0
ENSG00000198976,0,0,0,0,0
ENSG00000272141,0,0,0,0,0
ENSG00000205231,0,0,1,0,0
ENSG00000162571,0,0,0,1,0
ENSG00000186891,5,0,1,1,3
ENSG00000186827,1,4,2,3,2
ENSG00000078808,4733,4945,5580,4698,5307
ENSG00000176022,738,1011,1114,803,958
ENSG00000184163,44,55,67,74,60
ENSG00000260179,9,10,14,5,9
ENSG00000160087,906,1122,1326,917,1285
ENSG00000230415,18,17,24,16,17
ENSG00000162572,190,109,174,245,122
ENSG00000131584,2358,2027,2732,2323,2217
ENSG00000278073,0,0,0,0,0
ENSG00000169972,200,339,403,196,375
ENSG00000127054,1575,1756,2103,1575,1833
ENSG00000283712,0,0,0,0,0
ENSG00000240731,40,51,42,57,59
